"os_id","contribution_date","name","address","country_code","country_name","lat","lng","sector","contributor (list)","number_of_workers","parent_company","processing_type_facility_type_raw","facility_type","processing_type","product_type","claim_created_at","claim_name_in_native_language","claim_company_website","claim_company_phone","claim_point_of_contact","claim_point_of_contact_email","claim_office_name","claim_office_address","claim_office_country_code","claim_office_phone_number","claim_description","claim_certifications_standards_regulations","claim_affiliations","claim_minimum_order_quantity","claim_average_lead_time","claim_female_workers_percentage","claim_industry_sectors","claim_location_types","claim_other_location_type","claim_product_types","claim_processing_types","claim_parent_company","claim_number_of_workers","claim_opening_date","claim_closing_date","claim_estimated_annual_throughput_kg_year","claim_energy_coal_j","claim_energy_natural_gas_j","claim_energy_diesel_j","claim_energy_kerosene_j","claim_energy_biomass_j","claim_energy_charcoal_j","claim_energy_animal_waste_j","claim_energy_electricity_mwh","claim_energy_other_j","is_closed","accord_inspections_and_remediation_program.rsc_presence","accord_inspections_and_remediation_program.first_inspection_date","amfori_compliance_status.bsci_audit.expiration_date","amfori_compliance_status.bsci_audit.submission_date","amfori_compliance_status.bepi_audit.expiration_date","amfori_compliance_status.bepi_audit.submission_date","amfori_compliance_status.environmental_risk_assessment.completion_date","amfori_compliance_status.environmental_risk_assessment.expiration_date","climate_trace_emissions.estimated_emissions","climate_trace_emissions.estimated_annual_throughput","climate_trace_emissions.emissions_model","estimated_emissions","labor_solutions_grievance_mechanism.wovo_active","labor_solutions_grievance_mechanism.wovo_active_date","labor_solutions_grievance_mechanism.thematic_coverage","labor_solutions_grievance_mechanism.mechanism_type_ownership","labor_solutions_grievance_mechanism.access_modality","labor_solutions_grievance_mechanism.coverage","rsc_grievance_mechanism.status","rsc_grievance_mechanism.thematic_coverage","rsc_grievance_mechanism.mechanism_type_ownership","rsc_grievance_mechanism.access_modality","rsc_grievance_mechanism.coverage","slcp_assessment.most_recent_assessment_status","slcp_assessment.most_recent_assessment_date","slcp_assessment.assessment_platform","slcp_assessment.verifier_body","slcp_assessment.slcp_facility_id","ulula_grievance_mechanism.status","ulula_grievance_mechanism.start_date","ulula_grievance_mechanism.end_date","ulula_grievance_mechanism.thematic_coverage","ulula_grievance_mechanism.mechanism_type_ownership","ulula_grievance_mechanism.access_modality","ulula_grievance_mechanism.coverage","worldly_assessment_data.fem_assessment.last_date","worldly_assessment_data.fem_assessment.reporting_year","worldly_assessment_data.fem_assessment.verification_status","wrap_certification.certification_status","wrap_certification.issue_date","wrap_certification.expiration_date","mit_living_wage.county_link","mit_living_wage.county_link_text","wage_indicator.living_wage_link_national","wage_indicator.living_wage_link_national_text","wage_indicator.minimum_wage_link_english","wage_indicator.minimum_wage_link_english_text","wage_indicator.minimum_wage_link_national","wage_indicator.minimum_wage_link_national_text"
"US20242970AMWZV","2024-10-23","HAINING SUPPLY CHAIN CONSULTING, LLC","32632 WESLEY WAY, DADE CITY, FL, 33525","US","United States",28.3565154,-82.2758289,"Wholesale Trade","US Small Business Administration (SBA) [Public List] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://livingwage.mit.edu/counties/12101","View local living wage","https://paywizard.org/salary/living-wages","View Living Wages in national language","https://wageindicator.org/salary/minimum-wage/united-states-of-america","View Minimum Wage in English","https://paywizard.org/salary/minimum-wage","View Minimum Wage in national language"
"US20243022J1AZK","2024-10-28","SUPPLY CHAIN ENGINEERING, LLC","174 ROUNDABOUT CT, ROCKY MOUNT, NC 27804-3573","US","United States",35.9628305,-77.8628775,"Wholesale Trade","US Small Business Administration (SBA) [Public List] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://livingwage.mit.edu/counties/37127","View local living wage","https://paywizard.org/salary/living-wages","View Living Wages in national language","https://wageindicator.org/salary/minimum-wage/united-states-of-america","View Minimum Wage in English","https://paywizard.org/salary/minimum-wage","View Minimum Wage in national language"
"US2025014ASR91V","2025-01-13","DTLA SUPPLY CHAIN INC","7720 MAIE AVE, LOS ANGELES, CA 90001","US","United States",33.9694266,-118.2440486,"Apparel","Open Supply Hub Research Team [Public Data] (January 13, 2025)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://livingwage.mit.edu/counties/06037","View local living wage","https://paywizard.org/salary/living-wages","View Living Wages in national language","https://wageindicator.org/salary/minimum-wage/united-states-of-america","View Minimum Wage in English","https://paywizard.org/salary/minimum-wage","View Minimum Wage in national language"
"US202502924M2PE","2025-01-29","SFC Global Supply Chain Inc. - Erie","2200 E 38th St, 16510 Erie, Pennsylvania","US","United States",42.1206233,-80.0203853,"Food Manufacturing","European Commission: TRACES – TRAde Control and Expert System [Public List]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://livingwage.mit.edu/counties/42049","View local living wage","https://paywizard.org/salary/living-wages","View Living Wages in national language","https://wageindicator.org/salary/minimum-wage/united-states-of-america","View Minimum Wage in English","https://paywizard.org/salary/minimum-wage","View Minimum Wage in national language"
"US20250298GYGXZ","2025-01-29","SFC Global Supply Chain Inc. - Fargo","1307 39th St N, 58102 Fargo, Cass County, North Dakota","US","United States",46.8946427,-96.84333819999999,"Food Manufacturing","European Commission: TRACES – TRAde Control and Expert System [Public List]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://livingwage.mit.edu/counties/38017","View local living wage","https://paywizard.org/salary/living-wages","View Living Wages in national language","https://wageindicator.org/salary/minimum-wage/united-states-of-america","View Minimum Wage in English","https://paywizard.org/salary/minimum-wage","View Minimum Wage in national language"
"US2025029KREHSZ","2025-01-29","SFC Global Supply Chain Inc. - Stilwell","5 E Walnut St, 74960 Stilwell, Adair County, Oklahoma","US","United States",35.8134484,-94.62542409999999,"Food Manufacturing","European Commission: TRACES – TRAde Control and Expert System [Public List]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://livingwage.mit.edu/counties/40001","View local living wage","https://paywizard.org/salary/living-wages","View Living Wages in national language","https://wageindicator.org/salary/minimum-wage/united-states-of-america","View Minimum Wage in English","https://paywizard.org/salary/minimum-wage","View Minimum Wage in national language"
"US2025029ZAC2G3","2025-01-29","SFC Global Supply Chain Inc. - SFP","1602 Superior Rd, 56258 Marshall, Lyon County, Minnesota","US","United States",44.4683532,-95.7936814,"Food Manufacturing","European Commission: TRACES – TRAde Control and Expert System [Public List]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://livingwage.mit.edu/counties/27083","View local living wage","https://paywizard.org/salary/living-wages","View Living Wages in national language","https://wageindicator.org/salary/minimum-wage/united-states-of-america","View Minimum Wage in English","https://paywizard.org/salary/minimum-wage","View Minimum Wage in national language"
"US2025085CNYH7N","2025-03-26","INTEGRATED SUPPLY CHAIN SOLUTIONS LLC","21056 BRIDGE ST, SOUTHFIELD, MI, 48033","US","United States",42.445598,-83.2845337,"Wholesale Trade","US Small Business Administration (SBA) [Public List] ","","null","null","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://livingwage.mit.edu/counties/26125","View local living wage","https://paywizard.org/salary/living-wages","View Living Wages in national language","https://wageindicator.org/salary/minimum-wage/united-states-of-america","View Minimum Wage in English","https://paywizard.org/salary/minimum-wage","View Minimum Wage in national language"
"US202508625X0NR","2025-03-27","HARVEY SUPPLY CHAIN INTERNATIONAL LLC","200 BERKELEY ST - WEWORK, BOSTON, MA, 02116","US","United States",42.34983829999999,-71.072799,"Chemicals|Manufacturing","US Small Business Administration (SBA) [Public List] ","","null","null","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://livingwage.mit.edu/counties/25025","View local living wage","https://paywizard.org/salary/living-wages","View Living Wages in national language","https://wageindicator.org/salary/minimum-wage/united-states-of-america","View Minimum Wage in English","https://paywizard.org/salary/minimum-wage","View Minimum Wage in national language"
"US2025086AHANSJ","2025-03-26","PALOGIX SUPPLY CHAIN SERVICES LLC","19176 Hall Rd Ste 125, Clinton Township, MI, 48038","US","United States",42.62674,-82.9317801,"Unspecified","US Small Business Administration (SBA) [Public List] ","","null","null","","null","Transportation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","False","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://livingwage.mit.edu/counties/26099","View local living wage","https://paywizard.org/salary/living-wages","View Living Wages in national language","https://wageindicator.org/salary/minimum-wage/united-states-of-america","View Minimum Wage in English","https://paywizard.org/salary/minimum-wage","View Minimum Wage in national language"
